name,nse_symbol,isin
Bharat Gears Limited,BHARATGEAR,INE561C01019
Bharat Rasayan Limited,BHARATRAS,INE838B01021
Bharat Seats Limited,BHARATSE,INE415D01024
Bharat Wire Ropes Limited,BHARATWIRE,INE316L01019
Bharti Airtel Limited,BHARTIARTL,INE397D01024
Bharti Hexacom Limited,BHARTIHEXA,INE343G01021
Bharat Heavy Electricals Limited,BHEL,INE257A01026
Bilcare Limited,BI,INE986A01012
Bigbloc Construction Limited,BIGBLOC,INE412U01025
Bikaji Foods International Limited,BIKAJI,INE00E101023
Bhartiya International Limited,BIL,INE828A01016
BIL VYAPAR LIMITED,BILVYAPAR,INE071A01013
Bimetal Bearings Limited,BIMETAL,INE469A01019
Biocon Limited,BIOCON,INE376G01013
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM,INE829A01014
Birla Cable Limited,BIRLACABLE,INE800A01015
Birla Corporation Limited,BIRLACORPN,INE340A01012
Aditya Birla Money Limited,BIRLAMONEY,INE865C01022
BirlaNu Limited,BIRLANU,INE557A01011
Birla Precision Technologies Limited,BIRLAPREC,INE372E01025
BLACKBUCK LIMITED,BLACKBUCK,INE0UIZ01018
Black Rose Inds. Limited,BLACKROSE,INE761G01016
BEML Land Assets Limited,BLAL,INE0N7W01012
BLB Limited,BLBLIMITED,INE791A01024
Behari Lal Engineering Limited,BLEL,INE1EEM01017
Balmer Lawrie Investments Limited,BLIL,INE525F01025
Bliss GVS Pharma Limited,BLISSGVS,INE416D01022
B. L. Kashyap and Sons Limited,BLKASHYAP,INE350H01032
BLS International Services Limited,BLS,INE153T01027
BLS E-Services Limited,BLSE,INE0NLT01010
Blue Chip India Limited,BLUECHIP,INE657B01025
Blue Cloud Softech Solutions Limited,BLUECLOUDS,INE373T01047
Blue Coast Hotels Limited,BLUECOAST,INE472B01011
Blue Dart Express Limited,BLUEDART,INE233B01017
Blue Jet Healthcare Limited,BLUEJET,INE0KBH01020
Blue Star Limited,BLUESTARCO,INE472A01039
BlueStone Jewellery and Lifestyle Limited,BLUESTONE,INE304W01038
Bluspring Enterprises Limited,BLUSPRING,INE0U4101014
BMW Ventures Limited,BMWVENTLTD,INE965W01036
BN Agrochem Limited,BNAGROCHEM,INE00HZ01011
B & A Limited,BNALTD,INE489D01011
Bodal Chemicals Limited,BODALCHEM,INE338D01028
Bohra Industries Limited,BOHRAIND,INE802W01023
Bombay Dyeing & Mfg Company Limited,BOMDYEING,INE032A01023
Bonlon Industries Limited,BONLON,INE0B9A01018
Borana Weaves Limited,BORANA,INE16SF01016
Borosil Limited,BOROLTD,INE02PY01013
BOROSIL RENEWABLES LIMITED,BORORENEW,INE666D01022
Borosil Scientific Limited,BOROSCI,INE02L001032
BOSCH HOME COMFORT INDIA LIMITED,BOSCH-HCIL,INE782A01015
Bosch Limited,BOSCHLTD,INE323A01026
Bharat Petroleum Corporation Limited,BPCL,INE029A01011
BPL Limited,BPL,INE110A01019
Bharat Parenterals Limited,BPLPHARMA,INE365Y01019
Brahmaputra Infrastructure Limited,BRAHMINFRA,INE320I01017
Brigade Enterprises Limited,BRIGADE,INE791I01019
Brigade Hotel Ventures Limited,BRIGHOTEL,INE03NU01014
Bright Brothers Limited,BRIGHTBR,INE630D01010
Britannia Industries Limited,BRITANNIA,INE216A01030
Bharat Road Network Limited,BRNL,INE727S01012
Brooks Laboratories Limited,BROOKS,INE650L01011
BSE Limited,BSE,INE118H01025
Bombay Super Hybrid Seeds Limited,BSHSL,INE032Z01020
BSL Limited,BSL,INE594B01012
BIRLASOFT LIMITED,BSOFT,INE836A01035
Bodhi Tree Multimedia Limited,BTML,INE0EEJ01023
Bhilwara Technical Textiles Limited,BTTL,INE274K01012
Shankara Buildpro Limited,BUILDPRO,INE24OJ01011
Burnpur Cement Limited,BURNPUR,INE817H01022
Butterfly Gandhimathi Appliances Limited,BUTTERFLY,INE295F01017
Barak Valley Cements Limited,BVCL,INE139I01011
The Byke Hospitality Ltd,BYKE,INE319B01014
California Software Company Limited,CALSOFT,INE526B01014
Camlin Fine Sciences Limited,CAMLINFINE,INE052I01032
Campus Activewear Limited,CAMPUS,INE278Y01022
Computer Age Management Services Limited,CAMS,INE596I01020
Canara Bank,CANBK,INE476A01022
Can Fin Homes Limited,CANFINHOME,INE477A01020
Canara HSBC Life Insurance Company Limited,CANHLIFE,INE01TY01017
Cantabil Retail India Limited,CANTABIL,INE068L01024
Capacit'e Infraprojects Limited,CAPACITE,INE264T01014
Capillary Technologies India Limited,CAPILLARY,INE0ILV01024
Capital Small Finance Bank Limited,CAPITALSFB,INE646H01017
Caplin Point Laboratories Limited,CAPLIPOINT,INE475E01026
Capital Trust Limited,CAPTRUST,INE707C01018
Carborundum Universal Limited,CARBORUNIV,INE120A01034
CARE Ratings Limited,CARERATING,INE752H01013
Carraro India Limited,CARRARO,INE0V7W01012
Cartrade Tech Limited,CARTRADE,INE290S01011
CARYSIL LIMITED,CARYSIL,INE482D01024
Castrol India Limited,CASTROLIND,INE172A01027
AvenuesAI Limited,CCAVENUE,INE483S01020
Consolidated Construction Consortium Limited,CCCL,INE429I01024
Country Club Hospitality & Holidays Limited,CCHHL,INE652F01027
CCL Products (India) Limited,CCL,INE421D01022
Central Depository Services (India) Limited,CDSL,INE736A01011
CEAT Limited,CEATLTD,INE482A01020
Ceigall India Limited,CEIGALL,INE0AG901020
Ceinsys Tech Limited,CEINSYS,INE016Q01014
Celebrity Fashions Limited,CELEBRITY,INE185H01016
Cello World Limited,CELLO,INE0LMW01024
Cemindia Projects Limited,CEMPRO,INE686A01026
Century Enka Limited,CENTENKA,INE485A01015
Century Extrusions Limited,CENTEXT,INE281A01026
Central Bank of India,CENTRALBK,INE483A01010
Centrum Capital Limited,CENTRUM,INE660C01027
Centum Electronics Limited,CENTUM,INE320B01020
Century Plyboards (India) Limited,CENTURYPLY,INE348B01021
Cera Sanitaryware Limited,CERA,INE739E01017
Cerebra Integrated Technologies Limited,CEREBRAINT,INE345B01019
CESC Limited,CESC,INE486A01021
Concord Enviro Systems Limited,CEWATER,INE037Z01029
Confidence Futuristic Energetech Limited,CFEL,INE700F01024
Capri Global Capital Limited,CGCL,INE180C01042
CG Power and Industrial Solutions Limited,CGPOWER,INE067A01029
CG Vak Software & Exports Limited,CGVAK,INE084D01010
Chalet Hotels Limited,CHALET,INE427F01016
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT,INE085A01013
Chembond Material Technologies Limited,CHEMBOND,INE995D01025
Chembond Chemicals Limited,CHEMBONDCH,INE0TGX01019
Chemcon Speciality Chemicals Limited,CHEMCON,INE03YM01018
Chemcrux Enterprises Limited,CHEMCRUX,INE298W01016
Chemfab Alkalis Limited,CHEMFAB,INE783X01023
Chemplast Sanmar Limited,CHEMPLASTS,INE488A01050
Chennai Petroleum Corporation Limited,CHENNPETRO,INE178A01016
Cheviot Company Limited,CHEVIOT,INE974B01016
Choice International Limited,CHOICEIN,INE102B01014
Cholamandalam Investment and Finance Company Limited,CHOLAFIN,INE121A01024
Cholamandalam Financial Holdings Limited,CHOLAHLDNG,INE149A01033
CIE Automotive India Limited,CIEINDIA,INE536H01010
Capital India Finance Limited,CIFL,INE345H01024
Cineline India Limited,CINELINE,INE704H01022
Cinevista Limited,CINEVISTA,INE039B01026
Cipla Limited,CIPLA,INE059A01026
Clean Science and Technology Limited,CLEAN,INE227W01023
Clean Max Enviro Energy Solutions Limited,CLEANMAX,INE647U01026
CL Educate Limited,CLEDUCATE,INE201M01029
Chaman Lal Setia Exports Limited,CLSEL,INE419D01026
Caliber Mining and Logistics Limited,CMLL,INE11XY01018
Central Mine Planning & Design Institute Limited,CMPDI,INE05HV01027
CMR Green Technologies Limited,CMRGREEN,INE00WV01027
CMS Info Systems Limited,CMSINFO,INE925R01014
Creative Newtech Limited,CNL,INE985W01018
Coal India Limited,COALINDIA,INE522F01014
Coastal Corporation Limited,COASTCORP,INE377E01024
Cochin Shipyard Limited,COCHINSHIP,INE704P01025
John Cockerill India Limited,COCKERILL,INE515A01019
Coffee Day Enterprises Limited,COFFEEDAY,INE335K01011
Coforge Limited,COFORGE,INE591G01025
Cohance Lifesciences Limited,COHANCE,INE03QK01018
Colgate Palmolive (India) Limited,COLPAL,INE259A01022
Comfort Intech Limited,COMFINTE,INE819A01049
Competent Automobiles Company Limited,COMPEAU,INE823B01015
Compuage Infocom Limited,COMPINFO,INE070C01037
Compucom Software Limited,COMPUSOFT,INE453B01029
Commercial Syn Bags Limited,COMSYN,INE073V01015
Container Corporation of India Limited,CONCOR,INE111A01025
Concord Biotech Limited,CONCORDBIO,INE338H01029
Confidence Petroleum India Limited,CONFIPET,INE552D01024
Consolidated Finvest & Holdings Limited,CONSOFINVT,INE025A01027
Control Print Limited,CONTROLPR,INE663B01015
Coral India Finance & Housing Limited,CORALFINAC,INE558D01021
Waterways Leisure Tourism Limited,CORDELIA,INE0LZF01039
Cords Cable Industries Limited,CORDSCABLE,INE792I01017
Coromandel International Limited,COROMANDEL,INE169A01031
CORONA Remedies Limited,CORONA,INE02ZQ01018
COSMO FIRST LIMITED,COSMOFIRST,INE757A01017
Country Condo's Limited,COUNCODOS,INE695B01025
CP Capital Limited,CPCAP,INE521J01018
